Date,Open,High,Low,Close,Volume,Change
2020-09-08,54700,58500,54200,57600,896783,0.05301645338208405
2020-09-09,57700,60500,56200,57700,821117,0.0017361111111111605
2020-09-10,58700,59000,56700,57700,470213,0.0
2020-09-11,57400,60500,56900,58700,456164,0.017331022530329365
2020-09-14,59300,59300,57500,58000,329573,-0.011925042589437829
2020-09-15,57800,58400,57000,58000,270909,0.0
2020-09-16,58000,58800,57300,58300,290431,0.005172413793103514
2020-09-17,58300,58300,55800,56300,427639,-0.03430531732418529
2020-09-18,56900,58000,55600,58000,288517,0.030195381882770933
2020-09-21,57800,58200,55500,55600,319022,-0.04137931034482756
2020-09-22,55100,56600,54500,55200,452024,-0.007194244604316502
2020-09-23,56400,56400,52500,55900,430881,0.0126811594202898
2020-09-24,54500,55600,51800,51900,767893,-0.07155635062611809
2020-09-25,52600,52900,49400,50900,619816,-0.019267822736030782
2020-09-28,52300,57500,51800,57000,1067907,0.11984282907662092
2020-09-29,57700,58000,54900,58000,758762,0.01754385964912286
2020-10-05,57100,57400,51800,52500,1428801,-0.09482758620689657
2020-10-06,52000,53200,50200,51500,633818,-0.01904761904761909
2020-10-07,51600,52700,51200,51600,323584,0.001941747572815622
2020-10-08,51800,52200,49150,49800,892497,-0.03488372093023251
2020-10-12,50200,50300,47350,47600,915863,-0.04417670682730923
2020-10-13,48400,49300,47050,48100,779552,0.010504201680672232
2020-10-14,48200,48600,47550,48150,408840,0.0010395010395010118
2020-10-15,48700,48850,43050,44900,1775135,-0.06749740394600212
2020-10-16,44750,45150,43350,43850,550398,-0.023385300668151476
2020-10-19,43400,44700,42350,42650,557448,-0.027366020524515422
2020-10-20,42000,43350,41750,42950,426811,0.00703399765533419
2020-10-21,42750,43600,42350,42600,328871,-0.008149010477299212
2020-10-22,42150,42850,41600,41700,282868,-0.021126760563380254
2020-10-23,41750,42250,40850,41950,359499,0.005995203836930418
2020-10-26,41750,41850,38400,38700,888978,-0.07747318235995238
2020-10-27,38700,40450,38150,40400,504972,0.043927648578811374
2020-10-28,39750,41150,39150,41150,292532,0.01856435643564347
2020-10-29,39800,40700,39400,40450,314114,-0.017010935601458055
2020-10-30,40450,40450,38700,38700,238904,-0.04326328800988877
2020-11-02,38700,40300,38300,39850,229042,0.029715762273901714
2020-11-03,40000,41450,40000,41000,391823,0.028858218318695172
2020-11-04,41500,41550,40100,41150,273475,0.003658536585365857
2020-11-05,41650,44000,41400,43850,812347,0.0656136087484811
2020-11-06,43950,44000,42350,42500,461402,-0.030786773090079822
2020-11-09,43100,43650,42650,42950,242108,0.010588235294117565
2020-11-10,44850,45100,43550,43900,488734,0.022118742724097862
2020-11-11,43900,44050,42650,42800,291766,-0.02505694760820043
2020-11-12,43500,44700,43200,43650,528877,0.01985981308411211
2020-11-13,43800,44650,43050,44350,371817,0.016036655211912887
2020-11-16,44750,45800,44350,45300,400215,0.021420518602029315
2020-11-17,45450,45450,43600,43850,353289,-0.03200883002207511
2020-11-18,43650,45250,42850,44900,444759,0.02394526795895091
2020-11-19,44750,44750,43500,43850,256171,-0.023385300668151476
2020-11-20,43850,44850,43850,44600,220896,0.01710376282782211
2020-11-23,44700,46150,44150,45450,469669,0.01905829596412567
2020-11-24,45450,47400,45400,47150,528260,0.037403740374037486
2020-11-25,47550,47650,45400,45950,544693,-0.02545068928950156
2020-11-26,45950,45950,44750,45150,259240,-0.017410228509249226
2020-11-27,45200,45500,44350,45050,213222,-0.0022148394241418012
2020-11-30,44800,45050,43700,43800,348643,-0.027746947835738056
2020-12-01,43650,44300,43000,44050,260984,0.005707762557077611
2020-12-02,44000,44400,43500,43750,240272,-0.006810442678774176
2020-12-03,44500,49250,44400,49050,1863096,0.12114285714285722
2020-12-04,48700,48950,46300,46600,730782,-0.049949031600407756
2020-12-07,46250,46350,44800,45550,493228,-0.022532188841201672
2020-12-08,45200,47850,45200,45900,570731,0.007683863885839637
2020-12-09,46100,47100,46000,46650,239462,0.016339869281045694
2020-12-10,46100,47000,45600,45800,368339,-0.018220793140407254
2020-12-11,46150,48000,45700,47300,514089,0.03275109170305668
2020-12-14,46750,47600,46150,46800,299750,-0.010570824524312905
2020-12-15,46800,47750,46450,46750,230277,-0.0010683760683760646
2020-12-16,46750,47200,46500,46900,192364,0.0032085561497325887
2020-12-17,46800,46950,44500,44900,625374,-0.04264392324093813
2020-12-18,44950,45300,44550,45200,186839,0.006681514476614803
2020-12-21,45100,45100,43700,43800,373395,-0.030973451327433676
2020-12-22,43100,43650,42350,42400,342290,-0.03196347031963476
2020-12-23,42200,43150,41850,42800,208236,0.009433962264151052
2020-12-24,42800,43550,42400,43050,188529,0.005841121495327117
2020-12-28,43050,43800,42100,43450,340799,0.009291521486643362
2020-12-29,43150,44500,42950,44450,282467,0.023014959723820505
2020-12-30,44400,45600,44050,44700,296311,0.0056242969628796935
2021-01-04,44800,44900,43650,44050,265525,-0.014541387024608499
2021-01-05,43700,44050,42950,43300,349793,-0.017026106696935273
2021-01-06,43300,43950,42900,43000,261742,-0.006928406466512715
2021-01-07,42950,43450,42800,43000,248214,0.0
2021-01-08,43150,45750,42700,45100,666170,0.04883720930232549
2021-01-11,45650,45650,43300,44000,466646,-0.024390243902439046
2021-01-12,43500,45450,43100,45250,446824,0.02840909090909083
2021-01-13,45450,47700,44850,47000,963272,0.03867403314917128
2021-01-14,47300,47800,46250,47000,414896,0.0
2021-01-15,46700,47400,45400,45500,380569,-0.03191489361702127
2021-01-18,44750,46500,44250,45300,318273,-0.00439560439560438
2021-01-19,45300,47650,45300,47050,447331,0.03863134657836653
2021-01-20,48500,51800,47400,51000,1906227,0.08395324123273107
2021-01-21,51000,51700,49200,51200,825449,0.0039215686274509665
2021-01-22,50800,54100,50000,52900,1019183,0.033203125
2021-01-25,52900,53600,50400,51800,720032,-0.020793950850661602
2021-01-26,51700,52300,50100,52000,583583,0.0038610038610038533
2021-01-27,53200,53300,50400,50400,464687,-0.03076923076923077
2021-01-28,50400,51000,46750,47050,1190615,-0.06646825396825395
2021-01-29,47500,47750,44100,45350,639854,-0.03613177470775775
2021-02-01,44900,46500,44300,45750,350055,0.008820286659316334
2021-02-02,46250,48750,46100,47500,587384,0.03825136612021862
2021-02-03,47700,49450,47650,49100,588877,0.03368421052631576
2021-02-04,48500,49600,47450,49050,431031,-0.0010183299389001643
2021-02-05,49050,49350,47800,49150,293275,0.0020387359836901986
2021-02-08,49550,49550,48600,48900,210135,-0.0050864699898270915
2021-02-09,49000,49050,46550,46650,533879,-0.04601226993865026
